CCTV,#genre#
cctv-1,http://183.185.59.201:9003/hls/1/index.m3u8
cctv-2,http://183.185.59.201:9003/hls/2/index.m3u8
cctv-3,http://183.185.59.201:9003/hls/3/index.m3u8
cctv-4,http://183.185.59.201:9003/hls/4/index.m3u8
cctv-5,http://183.185.59.201:9003/hls/5/index.m3u8
cctv-5+,http://183.185.59.201:9003/hls/6/index.m3u8
cctv-6,http://183.185.59.201:9003/hls/7/index.m3u8
cctv-7,http://183.185.59.201:9003/hls/8/index.m3u8
cctv-8,http://183.185.59.201:9003/hls/9/index.m3u8
cctv-9,http://183.185.59.201:9003/hls/10/index.m3u8
cctv-10,http://183.185.59.201:9003/hls/11/index.m3u8
cctv-11,http://183.185.59.201:9003/hls/12/index.m3u8
cctv-12,http://183.185.59.201:9003/hls/13/index.m3u8
cctv-13,http://183.185.59.201:9003/hls/14/index.m3u8
cctv-14,http://183.185.59.201:9003/hls/15/index.m3u8
cctv-15,http://183.185.59.201:9003/hls/16/index.m3u8
cctv-16,http://183.185.59.201:9003/hls/17/index.m3u8
cctv-17,http://183.185.59.201:9003/hls/18/index.m3u8
